cape_verde 1975
mauritania 1960
senegal 1960
guinea_bissau 1973
burkina_faso 1960
togo 1960
ghana 1957
cote_d_ivoire 1960
mali 1960
liberia 1824
sierra_leone 1961
guinea 1958
gambia 1965
benin 1960
chad 1960
niger 1960
nigeria 1970
central_african_rep 1960
gabon 1960
rwanda 1962
uganda 1962
drcongo 1997
rep_congo 1960
s_tome_and_principe 1975
eq_guinea 1968
cameroon 1960
kenya 1963
malawi 1964
tanzania 1964
burundi 1962
ethiopia 1993
djibouti 1977
eritrea 1993
somalia 1960
somaliland 1991
zambia 1964
south_africa 1989
namibia 1989
angola 1975
botswana 1966
zimbabwe 1979
mozambique 1975
madagascar 1960
eswatini 2018
lesotho 1966
mauritius 1968
fr_reunion 1944
seychelles 1976
comoros 1975
swaziland 1968 2017
ethiopia1952 1952 1992
zaire 1971 1996
prt_angola1665 1665 1974
prt_mozambique1640 1640 1974
prt_st_tome1640 1640 1974
prt_cape_verde1640 1640 1974
prt_guinea 1881 1972
rhodesia 1965 1978
br_seychelles1814 1814 1975
fr_djibouti1944 1944 1976
fr_comoros1945 1945 1974
br_gambia1783 1783 1964
br_sierra_leone 1787 1960
sp_guinea 1885 1967
nigeria1967 1967 1969
biafra 1967 1969
congo1963 1963 1970
br_e_africa1962 1962 1962
br_e_africa1961 1961 1961
bel_ruanda_urundi 1960 1961
tanganyika 1961 1963
zanzibar1963 1963 1963
br_swazi 1910 1967
br_lesotho 1910 1965
br_rhodesia1965 1965 1965
br_rhodesia1964 1964 1964
br_rhodesia1893 1893 1963
br_mauritius1810 1810 1967
katanga 1960 1962
congo1960 1960 1962
br_e_africa1919 1919 1960
br_zanzibar1890 1890 1962
nigeria1960 1960 1966
n_somalia 1960 1990
ital_somalia1949 1949 1959
br_somalia1941 1941 1959
fr_madagascar1945 1945 1959
bel_congo1944 1944 1959
fr_eq_africa1944 1944 1959
br_nigeria1898 1898 1959
fr_w_africa1958 1958 1959
south_africa1919 1919 1988
fr_w_africa1944 1944 1957
br_gold_coast1895 1895 1956
br_eritrea 1941 1951
ethiopia1941 1941 1951
br_s_somalia 1941 1948
br_madagascar1942 1942 1944
br_comoros1942 1942 1944
fr_reunion1942 1942 1943
fr_reunion1940 1940 1941
fr_madagascar1940 1940 1941
fr_comoros1940 1940 1941
fr_madagascar1895 1895 1939
fr_comoros1886 1886 1939
fr_reunion1815 1815 1939
br_eq_africa1940 1940 1943
bel_congo1940 1940 1943
bel_congo1908 1908 1939
fr_eq_africa1916 1916 1939
br_djibouti1940 1940 1943
fr_djibouti1887 1887 1939
ital_e_africa1936 1936 1940
ital_n_somalia 1940 1940
br_somalia1884 1884 1939
fr_w_africa1942 1942 1943
fr_w_africa1940 1940 1941
fr_w_africa1915 1915 1939
ethiopia1890 1890 1935
ital_eritrea1928 1928 1935
ital_somalia1928 1928 1935
germ_e_africa1897 1897 1918
fr_eq_africa1901 1901 1915
germ_cameroon 1884 1915
br_e_africa1890 1890 1918
germ_togo 1884 1914
ital_eritrea1890 1890 1927
ital_somalia1888 1888 1927
germ_s_w_africa 1884 1914
south_africa1910 1910 1914
fr_w_africa1904 1904 1914
br_walvis_bay 1878 1918
south_africa1915 1915 1918
br_south_africa1902 1902 1909
fr_w_africa1895 1895 1903
tuareg -1000 1903
congo_free_st1892 1892 1907
transvaal1881 1881 1901
orange_free_state 1854 1901
fr_eq_aftica1839 1839 1900
