china 1997
taiwan 1949
china1949 1949 1996
br_hong_cong 1842 1996
prt_macao1556 1556 1579
china1945 1945 1948
china1930 1930 1944
jp_manchukuo 1931 1944
fr_zhanjiang 1898 1939
jp_lushun1904 1904 1930
china1922 1922 1929
br_weihai 1898 1929
china1912 1912 1921
jp_qingdao 1914 1921
ger_qingdao 1897 1913
ru_lushun 1897 1903
jp_lushun1895 1895 1896
qing1683 1683 1911
ch_tibet1945 1945 1948
ch_tibet1949 1949 1996
ch_tibet 1997
ch_tibet1930 1930 1944
ch_tibet1922 1922 1929
ch_tibet1912 1912 1921
qing_tibet1720 1720 1911
zunghar_tibet 1717 1719
khoshut 1642 1716
qing1644 1644 1682
tungning 1662 1682
n_l_formosa1625 1625 1647
qing1616 1616 1643
sp_formosa 1626 1641
tibet1354 1354 1641
ming1372 1372 1380
yunnan1368 1368 1380
ming1368 1368 1371
sichuan1368 1368 1371
yuan1279 1279 1367
yuan_tibet1271 1271 1278
yuan1271 1271 1278
s_song1127 1127 1278
mongol_china1262 1262 1270
mongol_china1259 1259 1261
mongol_tibet1262 1262 1270
yuan_tibet1279 1279 1353
mongol_tibet1259 1259 1261
mongol_china1254 1254 1258
mongol_tibet1241 1241 1258
mongol_china1234 1234 1253
dali937 937 1253
ghost_tibet 842 1240
jinn1115 1115 1233
xi_xia 982 1226
mongol_xia1227 1227 1233
n_song979 979 1126
tangut907 907 981
n_song978 978 978
n_han 951 978
n_song975 975 977
wuyue907 907 977
s_tang951 951 974
n_song971 971 974
s_han907 907 970
n_song965 965 970
later_shu934 934 964
n_song960 960 964
later_zhou958 958 959
jingnan907 907 957
later_zhou951 951 957
later_han947 947 950
s_tang936 936 944
chu907 907 950
later_jin936 936 946
nanzhao749 749 936
s_wu907 907 935
later_tang923 923 935
latertangian_shu 925 933
former_shu907 907 924
later_liang907 907 922
s_tang945 945 950
min907 907 944
tang705 705 906
tibet640 640 841
wu_zetian 690 704
tang617 617 689
tuyuhun 399 639
tibet601 601 639
sui589 589 616
s_chen557 557 588
sui581 581 588
n_zhou577 577 580
n_qi550 550 576
w_liang557 557 576
n_zhou557 557 576
w_wei534 534 556
s_liang502 502 556
e_wei534 534 549
n_wei439 439 533
s_qi479 479 501
liu_song420 420 478
sixteen_kingdoms 304 438
e_jin317 317 419
w_jin304 304 316
w_jin280 280 303
w_jin265 265 279
e_wu220 220 279
cao_wei263 263 264
cao_wei220 220 262
shu_han220 220 262
e_han23 23 219
xin9 9 22
w_han110m -110 8
w_han205m -205 -111
minyue211m -211 -111
nanyue205m -205 -111
qin221m -221 -206
china
qin222m -222 -222
yan770m -770 -222
zhao300m -300 -222
qin230m -230 -223
wei403m -403 -223
wey770m -770 -223
chu255m -255 -223
han255m -255 -231
qin770m -770 -231
qi770m -770 -222
chu333m -333 -256
lu770m -770 -256
han403m -403 -256
e_zhou770m -770 -256
zhao403m -403 -301
zhongshan403m -403 -301
chu345m -345 -334
yue470m -470 -334
zheng770m -770 -346
song486m -486 -346
chu447m -447 -346
jin770m -770 -404
chu478m -478 -448
cai770m -770 -448
yue510m -510 -471
wu770m -770 -471
chu769 -770 -479
chen770m -770 -479
song770m -770 -487
cao770m -770 -487
w_zhou1045m -1045 -771
shang1556m -1556 -1046
xia2000m -2000 -1557
japan 269
north_korea 1948
south_korea 1948
jap_korea 1910 1944
korea1945 1945 1947
korea1895 1895 1909
joseon 1392 1894
goryeo1355 1355 1391
yuan_goryeo1279 1279 1354
yuan_goryeo1271 1271 1278
mongol_goryeo1262 1262 1270
mongol_goryeo1259 1259 1261
mongol_goryeo1240 1240 1258
goryeo936 936 1239
khitanian_balhae 926 935
balhae 698 925
wu_zetianian_balhae 690 697
tang_balhae 667 689
goguryeo -37 666
goryeo915 915 935
silla900 900 934
hubaekje 900 935
taebong 901 917
silla671 671 899
silla562 562 670
tang_baekje 660 670
baekje -18 659
silla57m -57 561
gaya 42 561
ainu -3000 1449
yayoi -300 268
jomon -3000 -301
jp_zhanjiang 1940 1944
n_l_formosa1648 1648 1661
sp_macao1580 1580 1588
prt_macao1639 1639 1996
sp_macao1589 1589 1638
