bangladesh 1971
india 1947
pakistan 1947
east_pakistan 1947 1970
brit_india1877 1877 1946
br_india1818 1818 1876
br_bahawalpur 1838 1876
br_sikh 1849 1876
br_sind 1843 1876
kalat 1818 1876
sikhs1834 1834 1848
sind1818 1818 1842
bahawalpur 1802 1937
sikhs 1801 1833
ladakh 1487 1833
br_madras 1801 1817
br_bengal1803 1803 1817
maratha 1674 1817
rajput 1757 1817
mughal1710 1710 1719
br_bengal1765 1765 1802
br_madras_mini 1639 1800
travancore 1740 1800
br_hyderabad 1800 1800
br_andhra 1766 1800
mysore1720 1720 1798
carnatic1736 1736 1798
br_mysore 1799 1800
br_carnatic 1799 1800
fr_chandannagar1763 1763 1767
br_calcutta 1757 1764
bengal1720 1720 1764
br_chandannagar 1757 1762
fr_chandannagar1730 1730 1756
carnatic1710 1710 1735
madurai 1646 1735
fr_pondicherry 1674 1759
mug_mysore1704 1704 1709
mysore1605 1605 1703
mughal1687 1687 1709
golkonda1538 1538 1686
bijapur1490 1490 1685
tanjore 1646 1686
mughal1568 1568 1571
mughal1686 1686 1686
vijayanagara1360 1360 1645
prt_goa1510 1510 1579
ahmadnagar1574 1574 1635
bidar1492 1492 1618
mughal1619 1619 1636
mughal1636 1636 1685
kashmir1339 1339 1587
mughal1588 1588 1618
bengal1554 1554 1569
berar1490 1490 1573
ahmadnagar1490 1490 1573
gujarat1438 1438 1571
mughal1572 1572 1575
mughal1720 1720 1756
mughal1576 1576 1587
mughal1757 1757 1802
hyderabad 1720 1799
orissa1450 1450 1569
mughal1562 1562 1567
mewar1556 1556 1567
gond_kingdoms 1398 1567
mughal1561 1561 1561
malwa1555 1555 1561
mughal1558 1558 1560
marwar1556 1556 1560
mughal1557 1557 1557
jaisalmer1556 1556 1557
sind1339 1339 1557
mughal1526 1526 1556
suri 1534 1556
surian_marwar 1544 1555
surian_jaisalmer 1544 1555
surian_mewar 1544 1555
surian_malwa 1544 1554
surian_bengal 1538 1553
malwa1534 1534 1543
marwar 1398 1543
jaisalmer 1436 1543
mewar 1398 1543
marwarian_bikaner 1539 1543
bikaner1485 1485 1538
bengal1338 1338 1537
guj_malwa 1531 1533
malwa1398 1398 1530
golkonda1518 1518 1537
bahmani1518 1518 1537
mughal1504 1504 1525
delhi1485 1485 1525
bahmani1492 1492 1517
bahmani1347 1347 1491
