myanmar 1989
thailand 1945
cambodia 1953
laos 1954
vietnam 1975
philippines 1946
malaysia 1963
brunei 1983
singapore 1965
indonesia 1963
timor_leste 1999
papua_new_guinea 1975
indonesian_timor 1975 1998
br_brunei1945 1945 1982
north_vietnam 1954 1974
south_vietnam 1954 1974
burma1948 1948 1988
fr_vietnam1945 1945 1953
br_burma1945 1945 1947
jap_burma 1942 1944
jap_thailand 1941 1944
jap_vietnam 1940 1944
aus_new_guinea1914 1914 1974
por_east_timor1945 1945 1974
malaysian_singapore 1963 1964
malaya 1957 1962
br_north_borneo1945 1945 1962
indonesia1949 1949 1962
nl_new_guinea1884 1884 1939
br_singapore 1957 1962
br_malacca1945 1945 1956
nl_east_indies1945 1945 1948
us_philippines1945 1945 1945
jap_philippines 1942 1944
jap_malacca 1942 1944
jap_north_borneo 1942 1944
jap_brunei 1942 1944
jap_timor 1942 1944
jap_east_indies 1942 1944
por_east_timor 1859 1941
br_brunei1888 1888 1941
br_north_borneo1888 1888 1941
br_malacca1824 1824 1941
us_philippines1898 1898 1941
nl_east_indies1873 1873 1941
br_burma1886 1886 1941
siam1765 1765 1940
fr_vietnam1884 1884 1939
aus_new_guinea1906 1906 1913
germ_new_guinea 1884 1913
br_new_guinea1883 1883 1905
br_burma1826 1826 1885
burma1822 1822 1885
fr_cambodia1863 1863 1883
vietnam1786 1786 1883
cambodia1431 1431 1862
burma1813 1813 1821
assam 1228 1821
burma1784 1784 1812
manipur 1432 1821
sp_filippines1645 1645 1897
sarawak 1841 1887
sulu 1456 1887
papuan -1600 1882
nl_east_indies1844 1844 1872
aceh 1514 1873
brunei1841 1841 1887
por_timor 1642 1858
nl_east_indies1834 1834 1843
kutai 1406 1843
brunei1363 1363 1840
berau 1406 1833
nl_east_indies1833 1833 1833
jambi 1407 1832
nl_east_indies1830 1830 1832
nl_east_indies1821 1821 1829
yogyakarta1755 1755 1829
surakarta1755 1755 1829
nl_malacca1641 1641 1647
johor 1528 1823
nl_east_indies1812 1812 1813
palembang 1406 1820
sambas1608 1608 1811
nl_east_indies1787 1787 1809
vietnam1672 1672 1785
south_vietnam1674 1674 1785
burma1557 1557 1783
mrauk_u 1430 1783
fr_cambodia1945 1945 1952
fr_laos1945 1945 1953
jap_cambodia 1940 1944
jap_laos 1940 1944
fr_laos1893 1893 1939
siamian_laos 1778 1892
luang_prabang1707 1707 1777
vientiane1713 1713 1777
champasak1713 1713 1777
ayutthaya1368 1368 1764
vientiane1707 1707 1712
lan_xang 1353 1706
banjarmasin 1525 1786
nl_east_indies1682 1682 1786
mataram1586 1586 1754
champa 192 1673
south_vietnam1672 1672 1673
vietnam1426 1426 1671
nl_east_indies1667 1667 1681
banten1579 1579 1681
nl_east_indies1662 1662 1666
por_macassar1640 1640 1666
nl_east_indies1619 1619 1647
ternate1578 1578 1661
tidore 1399 1661
sp_filippines1565 1565 1588
maguindanao 1520 1644
sp_macassar1580 1580 1588
por_malacca1640 1640 1640
sp_malacca1580 1580 1588
pajang1568 1568 1585
por_macassar 1511 1579
por_malacca 1511 1579
ternate1552 1552 1577
bacan 1399 1577
banten1527 1527 1578
sunda1527 1527 1578
demak1527 1527 1567
ternate 1399 1551
jailolo 1399 1551
malacca1400 1400 1527
sunda1025 1025 1526
demak1475 1475 1526
majapahit1475 1475 1526
burma1555 1555 1556
chiang_mai1291 1291 1556
shan1527 1527 1554
burma1539 1539 1554
pegu1287 1287 1538
taungoo1486 1486 1538
ava1477 1486 1526
shan1499 1499 1526
ava 1364 1485
ming_vietnam 1407 1425
vietnam938 938 1406
khmer1357 1357 1430
majapahit1406 1406 1474
majapahit1400 1400 1405
majapahit1293 1293 1399
ayutthaya1350 1350 1367
sukhothai1350 1350 1367
ayutthayan_khmer 1353 1356
khmer1238 1238 1352
sukhothai1238 1238 1349
singhasari1288 1288 1292
singhasari1222 1222 1287
srivijaya1225 1225 1287
melayu 1225 1287
srivijaya1079 1079 1224
panjalu 1045 1221
janggala 1045 1221
chiang_mai1259 1259 1290
haripunjaya1259 1259 1290
pagan1057 1057 1286
haripunjaya749 749 1258
khmer1145 1145 1237
khmer802 802 1144
lavo 649 1144
cholan_srivijaya 1025 1078
srivijaya935 935 1024
mataram749 749 1044
pagan849 849 1056
pegu824 824 1056
srivijaya682 682 934
sunda669 669 934
tarumanagara 357 668
chenla_land 707 801
chenla_water 707 801
chenla627 627 706
chenla550 550 626
funan550 550 625
funan100 100 549
myanmar
nl_east_indies1648 1648 1661
nl_malacca1648 1648 1809
nl_east_indies1810 1810 1811
nl_east_indies1814 1814 1820
nl_malacca1810 1810 1813
nl_malacca1814 1814 1823
nl_new_guinea1940 1940 1943
nl_new_guinea1944 1944 1944
nl_new_guinea1945 1945 1962
sp_malacca1589 1589 1639
sp_macassar1589 1589 1639
sp_filippines1589 1589 1644
