syria 1961
greece 1944
turkey 1922
cyprus 1974
n_cyprus 1983
lebanon 1945
israel 1948
palestine 1948
jordan 1946
iraq 1945
iran 1945
kuwait 1961
saudi_arabia 1932
bahrain 1971
qatar 1971
emirates 1971
oman 1971
yemen 1990
azerbaijan 1991
armenia 1991
georgia 1991
turk_kurds 1922
syr_kurds 1961
iraq_kurds 1945
iran_kurds 1945
azer_ssr 1922 1990
arm_ssr 1922 1990
geor_ssr 1922 1990
n_yemen1919 1919 1989
s_yemen 1967 1989
br_bahrain 1861 1970
br_qatar 1916 1970
br_trucial_states 1892 1970
br_oman 1891 1970
br_s_arabia 1895 1966
br_kuwait 1899 1960
turk_cyprus 1974 1982
cyprus1960 1960 1973
uar_syria 1958 1960
br_cyprus 1878 1959
syria1946 1946 1957
br_palestine1946 1946 1947
br_palestine 1917 1945
fr_syria1945 1945 1945
br_iran1941 1941 1944
ru_iran1941 1941 1944
br_iraq1941 1941 1944
br_syria1941 1941 1944
iraq1932 1932 1940
iran1935 1935 1940
fr_syria1918 1918 1939
germ_greece1943 1943 1943
ital_greece 1941 1942
germ_greece1941 1941 1942
greece1864 1864 1940
syr_kurds1958 1958 1960
syr_kurds1946 1946 1957
syr_kurds1945 1945 1945
syr_kurds1941 1941 1944
syr_kurds1918 1918 1939
ru_kurds1941 1941 1944
iraq_kurds1941 1941 1944
iran_kurds1935 1935 1940
iraq_kurds1932 1932 1940
br_mesopotamia 1914 1931
ottoman 1517 1921
sov_georgia 1921 1921
georgia1918 1918 1920
sov_armenia 1920 1921
sov_azerbaijan 1920 1921
armenia1918 1918 1919
azerbaijan1918 1918 1919
saudi1924 1924 1931
hejaz1916 1916 1923
asir1916 1916 1922
hail1902 1902 1920
saudi1902 1902 1920
saudi1921 1921 1922
saudi1923 1923 1923
ott_yemen 1872 1918
br_lebanon 1941 1944
ott_arabia1817 1817 1915
qatar1878 1878 1915
hail1891 1891 1901
mesopotam_kurds 1918 1931
ott_kurds1735 1735 1917
ott_kurds1918 1918 1921
persia1796 1796 1812
persian_kurds1813 1813 1934
ru_azerbaijan 1813 1917
ru_armenians 1829 1917
ru_georgia 1801 1917
ott_armenians1829 1829 1917
br_aden 1839 1894
oman1747 1747 1890
saudi1865 1865 1890
hail1865 1865 1890
ott_armenians1801 1801 1828
georgia1747 1747 1800
greece1829 1829 1863
br_septinsular 1810 1863
fr_septinsular 1807 1809
septinsular_rep 1799 1806
saudi1824 1824 1864
bahrain1783 1783 1860
ott_saudi 1818 1823
saudi1817 1817 1817
saudi1804 1804 1816
saudi1744 1744 1803
yemen1630 1630 1803
ott_arabia1517 1517 1803
persia1747 1747 1795
qajar1790 1790 1795
zand1747 1747 1789
qajar1747 1747 1789
azerbaijan1747 1747 1789
persia1729 1729 1746
pers_georgia1735 1735 1746
ott_georgia1723 1723 1734
afg_persia1722 1722 1728
afg_georgia 1722 1722
pers_georgia1607 1607 1721
persia1509 1509 1721
arabs868 868 1743
persian_oman1737 1737 1746
ott_oman1659 1659 1736
oman1154 1154 1658
portug_muscat1640 1640 1649
sp_muscat1589 1589 1639
ott_yemen1517 1517 1629
sp_bahrain1589 1589 1601
ott_georgia1574 1574 1606
sp_muscat1580 1580 1588
sp_bahrain1580 1580 1588
portug_bahrain1520 1520 1579
portug_muscat1508 1508 1579
ott_kurds1514 1514 1516
persian_kurds1514 1514 1721
yemen1250 1250 1516
mamluk_arabia1250 1250 1516
saudian_yemen1817 1817 1817
saudian_yemen1804 1804 1816
ottoman1461 1461 1516
dulkadir1335 1335 1516
persian_kurds1509 1509 1513
ott_greece1485 1485 1516
ott_greece1517 1517 1828
rhodes1306 1306 1522
persia1501 1501 1508
ak_koyunlu 1467 1508
persian_kurds1501 1501 1508
akk_kurds1467 1467 1469
portugal_aden 1513 1537
cyprus1291 1291 1305
ottoman1453 1453 1460
kastamonu1292 1292 1460
trabzon1335 1335 1460
georgia1335 1335 1452
kara_koyunlu 1406 1466
ott_greece1460 1460 1460
epirus1364 1364 1484
byzantium1453 1453 1459
byzantium1432 1432 1452
ottoman1428 1428 1452
ottoman1421 1421 1427
karaman1402 1402 1427
ottoman1414 1414 1420
aydin1402 1402 1420
mentese1402 1402 1420
teke1402 1402 1420
germiyan1402 1402 1420
hamidoglu1402 1402 1420
krk_kurds 1406 1466
saruhan1402 1402 1413
ottoman1402 1402 1413
ottoman1398 1398 1401
tmr_kurds1393 1393 1405
ottoman1392 1392 1397
eretna1335 1335 1397
ott_greece1393 1393 1397
ott_greece1453 1453 1459
ott_greece1461 1461 1484
ott_greece1428 1428 1452
ott_greece1421 1421 1427
ott_greece1414 1414 1420
ott_greece1402 1402 1413
ott_greece1398 1398 1401
thessaly1364 1364 1392
karaman1326 1326 1391
ottoman1390 1390 1391
hamidoglu1299 1299 1389
teke1299 1299 1389
germiyan1299 1299 1389
mentese1299 1299 1389
aydin1299 1299 1389
ottoman1345 1345 1389
cilicia1169 1169 1374
serbian_epirus 1348 1363
serbian_thessaly 1348 1363
karesi1299 1299 1344
ottoman1299 1299 1344
tmr_khorasan1393 1393 1508
tmr_mid_east1393 1393 1405
muzaffarid1353 1353 1392
jalayirids1357 1357 1392
mazanderan1335 1335 1383
tmr_khorasan1383 1383 1383
tmr_khorasan1384 1384 1392
sabzevar1335 1335 1382
herat1335 1335 1382
chupanids1335 1335 1356
shirvan1335 1335 1356
jalayirids1335 1335 1356
muzaffarid1343 1343 1352
injuids1335 1335 1352
