russia 1991
belarus 1991
ukraine 1991
ussr 1922 1990
rsfsr 1918 1921
bel_ssr1922 1922 1940
ukr_ssr1922 1922 1940
soviet_ukraine 1920 1921
russia1598 1598 1633
ukraine1918 1918 1919
ru_baltic 1783 1917
ru_lithuania 1795 1917
latvia1918 1918 1939
estonia1918 1918 1939
lithuana1918 1918 1939
germ_ukraine 1941 1943
germ_belarus 1941 1943
bel_ssr 1944 1990
ukr_ssr 1944 1990
germ_lithuania 1941 1943
germ_latvia 1941 1943
germ_estonia 1941 1943
lit_ssr 1944 1990
lat_ssr 1944 1990
est_ssr 1944 1990
estonia 1991
latvia 1991
lithuania 1991
lit_ssr1940 1940 1940
lat_ssr1940 1940 1940
est_ssr1940 1940 1940
moldova 1991
mol_ssr 1944 1990
romanian_moldavia 1918 1943
ru_moldavia 1812 1917
romania 1878
ott_wallachia1418 1418 1420
ott_moldavia1503 1503 1516
moldavia 1362 1502
poland_lithuania 1386 1794
sw_baltic1625 1625 1720
pol_lit_baltic 1560 1624
sw_baltic 1560 1624
teutonic_knights1236 1236 1559
russia1556 1556 1597
sibir 1429 1597
russia1634 1634 1782
nogai 1502 1633
russia1552 1552 1555
astrakhan 1502 1555
russia1547 1547 1551
kazan 1438 1551
moscow1521 1521 1546
moscow1510 1510 1520
ryazan 1502 1520
moscow1478 1478 1489
pskov 1348 1509
novgorod 1323 1347
moscow1462 1462 1477
russia1783 1783 1917
crimea1774 1774 1782
ott_crimea1475 1475 1516
crimea1441 1441 1474
golden_horde1380 1380 1440
gh_ryazan1380 1380 1440
gh_moscow1383 1383 1461
lithuania1318 1318 1361
ru_baltic1721 1721 1782
golden_horde1259 1259 1379
gh_ryazan 1259 1379
gh_moscow 1263 1379
white_horde 1259 1379
gh_wallachia 1259 1361
wallachia 1330 1417
lithuania1236 1236 1317
minsk 1307 1317
turov 1241 1317
lit_polotsk 1307 1317
novgorod1348 1348 1477
mong_novgorod1259 1259 1261
sword_khights 1202 1235
teutonic_knights1230 1230 1235
cuman1059 1059 1129
mong_ryazan 1239 1258
mong_novgorod1241 1241 1258
galiz_volhyn1199 1199 1241
kiev 1054 1240
pereyaslavl 1054 1240
chernigov1054 1054 1240
smolensk 1054 1240
novgorod 1054 1240
mong_kiev 1241 1258
ryazan 1054 1238
rostov 1054 1123
gh_bulgaria1259 1259 1379
galizia1054 1054 1198
volhynia 1054 1198
kievan_rus1024 1024 1053
kievan_chernigov 1036 1053
chernigov 1024 1035
kievan_rus861 861 958
kievan_rus959 959 1023
kievan_polotsk979 979 986
polotsk987 987 1306
mong_galiz_volhyn 1242 1258
mong_smolensk 1241 1258
mong_chernigov 1241 1258
mosc_vyatka1401 1401 1461
mong_pereyaslavl 1241 1258
lithuania1367 1367 1385
gh_galizia 1340 1348
lit_volhynia 1340 1361
polish_galizia 1349 1385
lithuania1362 1362 1366
old_polotsk 959 978
lit_chernigov 1355 1361
gh_chernigov1355 1355 1361
gh_pereyaslavl 1259 1366
gh_kiev 1259 1366
gh_smolensk 1259 1361
gh_chernigov 1259 1354
gh_galiz_volhyn 1259 1339
lit_volhynia1367 1367 1385
lit_volhynia1362 1362 1366
vyatka 1180 1400
moscow1490 1490 1509
mong_vladimir 1239 1258
gh_vladimir 1259 1262
suzdal 1124 1154
vladimir 1155 1238
gh_north_rus1263 1263 1382
volg_bulgaria 922 1236
mong_bulgaria 1237 1258
bulgars 670 921
old_bulgaria 631 669
bulgaria670 670 1017
dacians -300 105
rm_dacia 106 269
dacia270 270 431
hunian_dacia 432 452
gepids 453 566
dacia453 453 559
avarian_dacia560 560 566
avarian_dacia567 567 804
bulgarian_dacia 805 893
dacia894 894 978
hungarian_wallachia 1089 1241
mong_wallachia 1240 1258
wallachia979 979 1088
pecheneg_wallachia 979 1129
cumanian_wallachia 1130 1239
golden_horde1441 1441 1501
pecheneg 965 1129
cuman1130 1130 1239
great_perm 1110 1471
mansi 1399 1597
mosc_perm1472 1472 1477
russia
tuva_ssr 1944 1990
tuva 1921 1943
byz_bulgaria1018 1018 1104
bulgaria1190 1190 1392
vidin1392 1392 1421
ott_bulgaria 1422 1427
