britain 1707
ireland 1922
br_ireland 1707 1921
en_scotland 1660 1706
england1282 1282 1706
scotland1018 1018 1659
en_ireland1318 1318 1706
ulster 499 1317
en_ireland1235 1235 1281
munster 499 1317
england1042 1042 1281
wales 444 1281
en_leinster1171 1171 1281
connacht 499 1234
leinster 499 1170
den_england 1017 1041
scotland843 843 1017
strathclyde 945 1017
england927 927 1016
wessex918 918 926
danelaw870 870 926
mercia812 812 917
wessex686 686 917
danelaw867 867 869
east_anglia825 825 869
northumbria 654 866
picts 0 842
mercian_e_anglia812 812 824
essex 526 811
kent 454 806
mercia583 583 811
mercian_kent 807 811
mercian_e_anglia794 794 811
east_anglia570 570 793
wessex518 518 685
sussex 476 685
bernicia 499 653
deira 558 653
anglo_saxon 429 453
hibernia -300 498
britons410 410 428
rm_britain274 274 394
gallic_britain 259 273
rm_britain79 79 258
rm_britain43 43 78
britons -300 78
scoti -300 -1
celts -1000 -301
en_leinster1282 1282 1234
wrm_britain 395 409
britain
en_ireland1282 1282 1317
