germany 1990
frg 1949 1989
gdr 1949 1989
ru_germany 1945 1948
fr_germany 1945 1948
en_germany 1945 1948
us_germany 1945 1948
germany1871 1871 1918
north_german_conf 1866 1870
hesse 1866 1870
baden 1866 1870
wurtemburg 1866 1870
bavaria 1866 1870
germ_mecklenburg 1814 1865
germ_hanover 1814 1865
germ_prussia 1814 1865
germ_saxony 1814 1865
german_conf 1814 1865
germ_baden 1814 1865
germ_wurtemburg 1814 1865
germ_bavaria 1814 1865
rhine_conf 1806 1813
fr_hanover 1806 1813
rh_mecklenburg 1806 1813
prussia 1806 1813
rh_saxony 1806 1813
rh_baden 1806 1813
rh_wurtemburg 1806 1813
rh_bavaria 1806 1813
holy_roman1648 1648 1805
hre_hanover1715 1715 1805
hre_mecklenburg 1648 1805
hre_saxony 1648 1805
hre_prussia 1700 1805
hre_baden 1805 1805
hre_wurtemburg 1648 1805
hre_bavaria 1648 1805
hre_austria1453 1453 1476
hre_hanover 1691 1714
sw_hamburg 1648 1714
brandenburg 1648 1699
holy_roman1477 1477 1647
switzerland 1648
hre_hetherlands 1572 1647
holy_roman1453 1453 1476
hre_flanders1320 1320 1452
flanders 1302 1319
austria1806 1806 1813
holy_roman962 962 1452
germany_franks 899 961
east_francia887 887 898
netherlands 1945
germ_nl1940 1940 1943
germ_belgium1940 1940 1943
germ_luxembourg 1940 1944
belgium 1944
luxembourg 1945
netherlands1944 1944 1944
germ_nl1944 1944 1944
netherlands1814 1814 1939
belguim1830 1830 1939
luxembourg1867 1867 1939
danzig 1919 1938
memel 1919 1922
germany1939 1939 1944
saar1919 1919 1934
germany1919 1919 1934
germany1935 1935 1938
nl_luxembourg1839 1839 1866
belgian_luxembourg 1830 1838
nl_luxembourg 1814 1829
nl_belgium1814 1814 1829
fr_netherlands 1810 1813
fr_luxembourg1795 1795 1813
fr_belgium1795 1795 1813
netherlands1648 1648 1809
aut_flanders1713 1713 1794
aut_luxembourg1713 1713 1794
sp_luxembourg1572 1572 1588
sp_flanders1572 1572 1588
sp_flanders1556 1556 1571
sp_luxembourg1556 1556 1571
aut_flanders1477 1477 1555
aut_luxembourg1477 1477 1555
hre_luxembourg1453 1453 1476
hre_luxembourg962 962 1452
france 1944
andorra 1607
germ_france1942 1942 1943
germ_france1940 1940 1941
vichy_france 1940 1941
france1679 1679 1767
sp_franche_comte1556 1556 1588
france1607 1607 1678
france1203 1203 1301
aut_franche_comte 1477 1555
hre_burgundian 1032 1476
en_normandy 1066 1202
france987 987 1202
fr_normandy 987 1065
burgundian933 933 1031
west_francia913 913 986
wfr_normandy911 911 912
burgundian887 887 932
provence879 879 932
west_francia887 887 910
brittany851 851 912
france1302 1302 1606
west_francia911 911 912
franks 884 886
frk_east_francia884 884 886
west_francia882 882 883
east_francia882 882 883
aquitaine879 879 881
west_francia879 879 881
west_francia851 851 878
ital_swabia 879 881
east_francia879 879 881
swabia876 876 878
saxons876 876 878
bavaria876 876 878
east_francia869 869 875
wfr_provence 863 878
ital_provence 863 878
east_francia843 843 868
lotharingia843 843 854
provence855 855 862
west_francia843 843 850
lotharingia855 855 868
franks824 824 842
franks782 782 787
bavaria554 554 787
franks771 771 781
saxons149 149 781
franks788 788 823
brittany476 476 781
neustria768 768 770
carloman768 768 770
nstr_aquitaine768 768 770
franks734 734 767
aquitaine673 673 767
franks720 720 733
frisians9 9 733
neustria717 717 719
austrasia717 717 719
franks679 679 716
neustria675 675 678
austrasia675 675 678
franks673 673 674
neustria639 639 672
austrasia639 639 672
franks628 628 638
aquitaine628 628 631
austras_aquitaine 639 672
fkr_aquitaine 632 638
franks613 613 627
neustria567 567 612
austrasia611 611 612
austrasia561 561 610
orleans561 561 610
neustria561 561 566
paris561 561 566
franks558 558 560
neustria555 555 557
paris511 511 557
neustria511 511 554
austrasia534 534 554
austrasia531 531 533
burgundians299 299 533
austrasia524 524 530
thuringia476 476 530
austrasia511 511 523
orleans511 511 523
franks502 502 510
franks486 486 501
alamanni199 199 501
franks199 199 485
syagrius476 476 485
wrm_gallia 395 475
gallic_empire 259 273
rm_gallia41m -51 258
rm_germanic -8 8
germanic -300 -9
rm_gallia110m -120 -52
gauls -400 -52
volcae -300 -121
gr_massalia -600 -121
corsica 1755 1767
france1768 1768 1939
liechtenstein 1866
germ_liechtenstein 1814 1865
hre_austria1477 1477 1647
hre_austria1648 1648 1805
germ_austria1814 1814 1865
austria1866 1866 1866
austria_hungary 1867 1917
austria1918 1918 1937
germ_austria1939 1939 1944
en_austria 1945 1954
fr_austria 1945 1954
us_austria 1945 1954
ru_austria 1945 1954
austria 1955
slovenia 1991
ysl_slovenia 1945 1990
germ_slovenia 1941 1944
ysl_slovenia1918 1918 1940
hre_flanders1453 1453 1476
sp_luxembourg1589 1589 1712
sp_flanders1589 1589 1712
sp_franche_comte1589 1589 1678
wfr_normandy913 913 986
monaco 1861
germ_austria1938 1938 1938
rm_gallia274 274 394
