spain 1589
portugal 1640
sp_portugal1589 1589 1639
sp_portugal1580 1580 1588
spain1491 1491 1588
navarre1479 1479 1588
portugal1139 1139 1579
granada1238 1238 1490
spain1479 1479 1490
aragon1035 1035 1478
castile1262 1262 1478
arag_navarre 1458 1478
navarre1328 1328 1457
fr_navarre1234 1234 1301
castile1230 1230 1261
almohad_taifas1238 1238 1261
almohad_taifas 1224 1237
navarre1162 1162 1233
castile1157 1157 1229
leon1157 1157 1229
almohad_spain1203 1203 1223
almoravid_majorca 1147 1202
almohad_spain1172 1172 1202
murcia 1147 1171
almohad_spain1154 1154 1171
almoravid_taifas1147 1147 1153
almohad_spain1147 1147 1149
pamplona1134 1134 1161
almoravid_taifas1144 1144 1146
leon1139 1139 1157
leon1072 1072 1138
almoravid_spain1116 1116 1143
almoravid_spain1110 1110 1115
majorca1076 1076 1115
almoravid_spain1104 1104 1109
albarasin_emirate 1010 1103
alpuent_emirate 1009 1103
almoravid_spain1102 1102 1103
almoravid_spain1093 1093 1101
valencia1094 1094 1101
valencia_emirate1085 1085 1093
almoravid_spain1091 1091 1092
badajoz_emirate 1009 1092
almoravid_spain1090 1090 1090
toledo_emirate1030 1030 1090
seville_emirate1078 1078 1090
almeria_emirate 1010 1090
granada_emirate1058 1058 1089
saragossa1060 1060 1109
seville_emirate1070 1070 1077
murcia_emirate 1010 1077
denia_emirate 1009 1075
pamplona1035 1035 1075
leon1065 1065 1071
galicia1065 1065 1071
castile1065 1065 1071
seville_emirate1067 1067 1069
cordoba1038 1038 1038
arcos_emirate 1010 1069
seville_emirate1063 1063 1066
ronda_emirate 1038 1066
carmona_emirate 1012 1066
moron_emirate 1012 1066
leon910 910 1064
toledan_valencia 1064 1075
saragossan_valencia 1076 1084
valencia_emirate1009 1009 1063
silves_emirate 1039 1062
seville_emirate1053 1053 1054
saragossa1016 1016 1059
tortosa 1016 1059
granada_emirate 1012 1057
malaga_emirate 1025 1057
seville_emirate1051 1051 1052
niebla_emirate 1022 1052
seville_emirate1044 1044 1050
algarve_emirate 1017 1050
seville_emirate1022 1022 1043
mertola_emirate 1032 1043
cordoba1034 1034 1037
seville_emirate1055 1055 1062
cordoba1032 1032 1033
cordoba1025 1025 1029
cordoba1039 1039 1069
pamplona905 905 1034
aragon1076 1076 1133
aragon1134 1134 1478
cordoba1030 1030 1031
cordoba1022 1022 1025
cordoba1017 1017 1021
cordoba1016 1016 1016
cordoba1012 1012 1015
cordoba1010 1010 1011
cordoba1009 1009 1009
cordoba_caliphate 929 1008
cordoba_emirate 756 928
asturias 722 909
umayyad_iberia719 719 749
abbasid_iberia 750 755
umayyad_iberia 710 718
visigoth624 624 718
visigoth623 623 623
vascons563 563 623
visigoth585 585 622
erm_iberia552 552 622
visigoth552 552 584
suebi 409 584
cantabri502 502 562
visigoth476 476 551
vascons476 476 501
visigoth415 415 475
wrm_iberia456 456 475
cantabri456 456 475
wrm_iberia418 418 455
wrm_iberia415 415 417
alans 409 417
wrm_iberia395 395 414
rm_iberia132m -132 394
rm_iberia196m -196 -133
celtiberians -600 -133
lusitanians -200 -133
iberians208m -208 -197
rm_iberia208m -208 -197
carth_iberians218m -218 -209
rm_iberia216m -216 -209
gr_emporion -575 -209
carth_iberians236m -236 -219
gr_sagunt -550 -219
iberians536m -536 -237
iberians -1400 -537
tartessos -1000 -537
carth_iberia -550 -237
fnk_gadir -1104 -551
spain
br_gibraltar 1713
fr_navarre1302 1302 1327
almohad_spain1150 1150 1150
almohad_spain1151 1151 1151
almohad_spain1152 1152 1153
